id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
146,3dconnexion_cadmouse_compact_mouse_ergonomic_optical_7_buttons_wireless_wired_usb_bluetooth_2_4_ghz,,136.73,,,,3DX-700118,2024-09-15 17:39:07
147,endgame_gear_xm1r_gaming_mouse_black,,112.75,,,,EGG-XM1R-BLK,2024-09-15 17:39:07
148,dell_ms5320w_multi_device_wireless_mouse,,87.38,,,,MS5320WGY,2024-09-15 17:39:07
149,dell_laser_wired_mouse_ms3220_black,,73.56,,,,MS3220BLK,2024-09-15 17:39:07
150,dell_pro_wireless_mouse_ms5120w_titan_gray_ms5120wgy,,80.43,,,,MS5120WGY,2024-09-15 17:39:07
151,dell_ms3220_laser_wired_mouse_titan_gray,,69.06,,,,MS3220GY,2024-09-15 17:39:07
152,worlds_first_mouse_with_grooved_buttons_your_fingertips_rest_in_a_shallow_groove,,179.52,,,,VMDLW,2024-09-15 17:39:07
153,kensington_ergonomic_vertical_wireless_mouse_k75575ww_,,64.70,,,,75575,2024-09-15 17:39:07
154,xtrfy_m4_wireless_gaming_mouse_white,,169.54,,,,M4W-RGB-WHITE,2024-09-15 17:39:07
155,xtrfy_m4_wireless_gaming_mouse_black,,163.20,,,,M4W-RGB-Black,2024-09-15 17:39:07
156,patriot_viper_v551_full_rgb_optical_gaming_mouse_12_000_dpi_7_programmable_macro_keys,,68.20,,,,PV551OUXK,2024-09-15 17:39:07
157,logitech_ergo_m575_trackball_optical_5_buttons_wireless_2_4_ghz_bluetooth_5_0_le_usb_wireless_receiver_of,,139.06,,,,910-005870,2024-09-15 17:39:07
158,logitech_lift_vertical_ergonomic_mouse_vertical_mouse_ergonomic_optical_6_buttons_wireless_bluetooth_2_4_gh,,128.71,,,,910-006473,2024-09-15 17:39:07
159,logitech_mx_anywhere_3s_for_business_mouse_right_handed_optical_6_buttons_wireless_bluetooth_logitech_logi,,240.34,,,,910-006958,2024-09-15 17:39:07
160,logitech_mx_anywhere_2s_mouse_laser_7_buttons_wireless_bluetooth_2_4_ghz_usb_wireless_receiver_graphite,,249.71,,,,910-006211,2024-09-15 17:39:07
161,kensington_valumouse_mouse_right_and_left_handed_optical_3_buttons_wired_usb_black,,27.68,,,,K72110EU,2024-09-15 17:39:07
162,dicota_comfort_mouse_laser_wireless_usb_wireless_receiver_black,,16.66,,,,D31659,2024-09-15 17:39:07
163,hp_240_mouse_right_and_left_handed_optical_3_buttons_wireless_bluetooth_5_1_usb_wireless_receiver_sunset,,34.98,,,,43N05AA#ABB,2024-09-15 17:39:07
164,roccat_kone_pure_sel_gaming_mouse_black_5000_dpi_pro_optic_sensor_r7_sensor_simple_packaging_,,53.99,,,,ROCCAT Kone Pure SEL BLACK,2024-09-15 17:39:07
165,lenovo_legion_m500_rgb_gaming_mouse_for_gaming,,87.83,,,,ADIB07NLN36LW,2024-09-15 17:39:07
166,ergoguys_r_go_wireless_vert_ergonomic_mouse_large_right_hand_black,,245.02,,,,RGOHELAWL,2024-09-15 17:39:07
167,adesso_wireless_vertical_egonic_mouse_with_adjustable_dpi,,67.79,,,,IMOUSEV10,2024-09-15 17:39:07
168,logitech_master_series_mx_master_3s_mouse_ergonomic_optical_7_buttons_wireless_bluetooth_2_4_ghz_logitech,,214.23,,,,910-006559,2024-09-15 17:39:07
169,cherry_mw_2400_wireless_mouse,,40.58,,,,JW07102,2024-09-15 17:39:07
170,techair_xm301bv2_mouse_optical_wired_usb_grey,,15.26,,,,XM301BV2,2024-09-15 17:39:07
171,zagg_pro_mouse_wireless_bluetooth_space_grey,,56.12,,,,109910230,2024-09-15 17:39:07
172,glorious_model_o_minus_gom_gwhite_glossy_white_gaming_mouse,,94.42,,,,GOM-GWHITE,2024-09-15 17:39:07
173,glorious_model_o_glossy_black_rgb_gaming_mouse,,97.20,,,,GO-GBLACK,2024-09-15 17:39:07
174,glorious_model_o_minus_gom_gblack_glossy_black_gaming_mouse,,94.42,,,,GOM-GBLACK,2024-09-15 17:39:07
175,glorious_model_o_minus_gom_black_matte_black_gaming_mouse,,105.83,,,,GOM-BLACK,2024-09-15 17:39:07
